store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
b5d0a65d-6d54-47aa-95e9-9312f0353326,0,0,9.02,0.0,5041.62,0
a792089b-e23d-435f-bc18-113b7cc95e11,0,0,12.02,0.0,6098.88,0
7a242d0e-309c-4915-9755-e9019d69108d,0,0,12.02,0.0,6099.06,0
ca793240-b974-4551-ba0b-649d1a52956c,0,0,5.99,3.04,3958.46,903.71
3a2313be-27d9-429f-9906-ccd142d9906c,0,0,9.02,0.0,4862.14,0
474b6ebc-d09f-4270-aad1-d8b4bfd0d98c,0,0,5.99,0.0,3598.88,720.96
be7041f0-8d78-44c5-afcc-6e6b5f339119,0,0,9.02,0.0,3602.37,1259.13
5ff4f817-e978-49a1-acac-20f4b1a886e0,0,0,9.02,0.0,4681.59,0
f2b972e3-64af-41e0-a723-8696289e3cb5,0,0,0.0,0.0,0,0
d608c50a-4725-4c02-bbaa-3771509914aa,0,0,5.99,0.0,3418.74,901.02
3f2fda7a-c60c-47bb-a4e3-e38971b5a6d2,0,0,9.0,1.02,4018.7,543.97
aae81865-7746-4917-9f0b-78fa788e6986,0,0,5.99,3.04,3596.28,1265.87
0233b870-8996-4137-a1c8-3e4ea98180c9,0,0,5.99,3.03,3596.4,1265.11
746057d8-244f-407c-8338-0deb71d36a14,0,0,9.02,0.0,4861.42,0
327f40b6-5d1a-4f50-8437-bdfb477a4d43,0,0,10.02,8.01,4682.31,3241.41
638a06b8-6a75-48d5-a943-54bc05f573cc,0,0,5.99,3.04,3596.35,1265.82
fb1ce487-93f7-485c-8a91-42cbad973386,0,0,9.02,0.0,4861.54,0
0ae10fd2-556d-4db1-abc4-41acd095e9bc,0,0,8.0,1.02,3479.46,783.43
850494bb-dab4-4607-b856-fb17b43fabda,0,0,5.99,0.0,3418.74,901.17
4ee40a3d-4ed8-488f-acc7-44b090615105,0,0,8.99,3.04,3772.13,3064.56
cfb18211-9aed-44ed-bc0c-03535be37b48,0,0,5.99,0.0,3598.86,720.78
2228b70e-4c0e-4e2a-8a42-3bc96a7fdd08,0,0,5.99,0.0,3598.79,720.85
12381e87-a967-44d9-ab36-2929a53ad1ba,0,0,3.03,6.0,3056.81,1805.33
5f96a457-3b02-4de1-9999-64f16862ff1e,0,0,9.03,0.0,4862.17,0
838218c4-deb0-484b-baac-f0f605acc92c,0,0,3.0,0.0,1249.1,0
9ec72748-4e52-4707-8eb0-c24ece8b5aed,0,0,9.03,0.0,4862.2,0
5e8b8426-3423-4294-a6b3-5aec558800a3,0,0,5.99,0.0,3596.25,0
820cc2d2-005c-4079-b698-8036cea1aad3,0,0,8.0,1.02,3059.7,1203.27
10d59c9c-e83a-4ec0-b17f-d86544470cf6,0,0,3.0,0.0,1249.58,0
f7812b3c-0c0c-448b-8574-f17b29c64ca3,0,0,9.03,0.0,4862.15,0
03243548-0353-4656-8079-7b2f89245a58,0,0,9.03,0.0,4862.08,0
6588460c-9bf8-4aa7-bb16-d6a8dad88b28,0,0,5.99,3.04,3056.82,1805.38
e24bcf9a-e7eb-4e08-b5f6-3ec3de4745b6,0,0,8.0,0.99,3480.35,780.21
f2137b08-fe17-4ac6-b567-10af21f1ef04,0,0,5.99,0.0,3599.17,721.04
45546d9b-74d5-4418-9a08-0a8bb5f00be4,0,0,7.01,2.02,3419.94,843.46
2ee5c720-1bc1-4758-b67e-d56f881d36bc,0,0,0.0,9.02,0,4861.71
eafc494d-ce26-4943-9c52-256f3152aa6e,0,0,5.99,12.07,3949.8,4691.6
9eb8c1f0-4922-4ddf-b6ca-d0fe1ca4d571,0,0,5.99,3.04,3596.28,1265.81
2f33d254-b3d9-4091-a230-ebf2c04a0fb3,0,0,0.0,9.02,0,4861.5
7cc13c05-ba2f-4ba5-ac64-f2f32f669d84,0,0,5.99,3.04,3596.27,1265.37
c1e575b4-7d3a-479f-b279-c8355d970181,0,0,9.03,0.0,4862.12,0
1e8f53db-6c6d-471c-91bf-2a5cf6f943c7,0,0,0.0,9.02,0,4861.61
94e19d12-3635-4e1e-885c-6c916597f272,0,0,5.99,3.04,3596.27,1265.78
8c730e2e-1960-480e-94c4-b1d491c216d2,0,0,0.0,9.02,0,4861.46
2e9dc7d8-85f4-4cb1-b72b-977df5a05170,0,0,5.99,3.04,3596.19,1265.29
089b570b-b6fc-46f3-aedf-b8e4be1c1347,0,0,0.0,0.0,0,0
6f908bd4-52bb-4b05-af67-204ff8ed3779,0,0,9.02,0.0,4861.82,0.24
e9d2e6e3-dfbe-4c51-a7d9-8e9d3d11255c,0,0,5.99,3.04,3596.24,1265.31
3f968e02-f6e0-4c6f-a528-3a94653f3b85,0,0,9.03,3.02,4862.06,1261.56
03904864-f270-42c1-b993-9710c911509a,0,0,5.99,3.04,3236.16,1625.55
cd948be1-ce0b-4473-bcdc-f5354ca02e1a,0,0,9.03,0.0,4862.06,0
5f5556a0-9f4d-490a-85a9-9f9d7c1c20f6,0,0,0.0,0.0,0,0
01dd1a67-9582-4c07-9c47-22990be20152,0,0,9.02,0.0,4861.49,0
18d8cfca-165d-4f17-aa62-38114cf20c93,0,0,0.0,10.02,0,4563.37
e891e0c8-6018-4172-8373-54463bb4fa92,0,0,3.0,0.0,1250.33,0
f68cac2a-530d-4c27-a294-d2e7161cc471,0,0,9.02,0.0,4861.56,0
80328c8d-119b-485c-9de2-2964a40e60c0,0,0,0.0,9.03,1617.65,3244.5
accd7d30-02fb-4fb0-ae26-e164a4f44b2c,0,0,0.0,0.0,0,0
84e00fe4-c550-41a6-a7c3-0e10cb76441f,0,0,18.81,0.0,7967.59,0
dd1d6d71-9fb7-4da9-be26-4739a1a9a5d2,0,0,9.03,0.0,4141.67,720.38
5606c205-9251-4fce-ad42-7ace8e035eef,0,0,5.99,3.04,3596.27,1265.36
